Name,Address,Cuisine,Longitude,Latitude,Award,GreenStar,FacilitiesAndServices,Description,Currency,Price Level,City,Country,State
O' by Claude Le Tohic,"165 O'Farrell St., San Francisco, 94102, USA",French,-122.4074317,37.7863767,1 Star,0,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access","This restaurant is the crowning jewel of Chef Claude Le Tohic's ONE65, the six-floor homage to fine French cuisine.Chef Claude Le Tohic's five- and nine-course menus are composed of outstanding courses that may pair classic French techniques with pristine Californian ingredients. The rotating lineup may begin with a generous trio of caviar with freshly baked breads; and end over an enticing mignardise cart. In between, you might find such delights as an intricate zucchini cannelloni filled with diced squash and garnished with crisp tempura flowers. Lobster presented two ways may highlight succulent meat dressed with Chambertin sauce and pickled onion along with ultra-tender morsels, tangy purple cabbage and pepperberry bearnaise.",$,4,San Francisco,USA,California
Sushi Tadokoro,"2244 San Diego Ave., San Diego, 92110, USA",Japanese,-117.1913167,32.7483809,1 Star,0,"Air conditioning,Car park,Counter dining","Guests are in good hands at this mini sushi counter that's off the beaten path in a modest strip mall. Chef/owner Takeaki Tadokoro along with young chef, Tatsuro Tsuchiya, take great pleasure in providing a delightful dining experience. The omakase, complete with a changing selection of fish, is the most popular option. Whether it includes those creamy and meaty oysters from British Columbia or succulent scallops from Hokkaido, they use only the finest ingredients. To wit: a mix of sea urchin from California and Hokkaido topped with ikura hits all the right notes; while golden eye snapper with a thin veil of kombu is a salty treasure. Bluefin tuna, marinated with ponzu and enhanced by yuzu kosho, is yet another highlight.",$,3,San Diego,USA,California
Sushi Yoshizumi,"325 E. 4th Ave., San Mateo, 94401, USA",Japanese,-122.3211,37.565075,1 Star,0,"Air conditioning,Counter dining","Reservations may be hard to secure, but rest assured that it is completely worth the effort. Cherished by expats yearning for a taste of home as well as sushi purists, the tidy setting is consists of little more than eight seats, a cypress bar and that ever-present chef’s work station.The menu is built around Edomae sushi, a style that Chef Akira Yoshizumi spent years perfecting in both Japan and New York. Omakase highlights may include soy-glazed tako, delicate chawanmushi with squid and snapper; or grilled cod with finger lime and wasabi. A parade of expertly crafted nigiri is judiciously dressed and may showcase meltingly tender bluefin, rich ankimo or seasonal buri dabbed with minced green onion for a zesty pop.",$,4,San Mateo,USA,California
Localis,"2031 S St., Sacramento, 95811, USA",Californian,-121.4829661,38.5665938,1 Star,0,"Air conditioning,Interesting wine list,Wheelchair access","Together with his tight-knit team, Chef/owner Christopher Barnum-Dann brings unusual warmth to this intimate setting. His enthusiasm is instantly palpable as he happily explains his inspiration behind particular dishes and even solicits feedback. This is especially true for diners who sit at the spacious counter.The cooking has a clean, modern simplicity, and its commitment to carefully sourced ingredients is thoroughly Californian. It also offers no shortage of personality, combining flavors while also drawing from various global cuisines. Whimsy is a common thread throughout, as in a gutsy potato rosti piped with uni mousse and ""The Dish That Made Us,"" a single octopus tentacle atop polenta with preserved lemon and a brown butter sauce.",$,4,Sacramento,USA,California
Ssal,"2226 Polk St., San Francisco, 94109, USA",Korean,-122.4219651,37.7972584,1 Star,0,"Air conditioning,Wheelchair access","Hyunyoung and Junsoo Bae have ample fine dining experience but were inspired to strike out on their own to fill what they saw as a void in San Francisco's Korean restaurant scene. The result is this tasting menu that draws upon familiar flavors, but sets itself apart with a sense of refined simplicity.Meticulously prepared seafood shows a dedication to craft, as in black cod partially dried before being grilled to achieve a skin so crunchy it can be heard from across the room. Beef short ribs are something of a signature, gently cooked sous vide, then seared to form a sweet-savory crust. Desserts end the meal with a feather-light touch, like a sorbet of magnolia berry over green plum granita, garnished with a black sesame tuile.",$,4,San Francisco,USA,California
Q Sushi,"521 W. 7th St., Los Angeles, 90014, USA",Japanese,-118.255844,34.046883,1 Star,0,"Air conditioning,Counter dining,Notable sake list,Wheelchair access","Authenticity and tradition are paramount in this little sushiya. From the moment you walk in, to the rapid succession of courses that follow, everything in this dining room seems steeped in a sense of calm. Chef Hiroyuki Naruke prepares every item and thoughtfully serves each diner. Edomae-style sushi arrives as an omakase of fish, while other courses may commence with sashimi and nigiri. Case in point—amberjack sashimi with onions and soy, where each morsel is sliced, seasoned and set before your eye. This may be tailed by nigiri such as Hokkaido scallops, kohada, and fatty tuna. The pleasure of dining here extends right to end with the simple, spongy, and fluffy block of tamago.",$,4,Los Angeles,USA,California
Jeune et Jolie,"2659 State St., Carlsbad, 92008, USA",French,-117.3516968,33.1631027,1 Star,0,"Air conditioning,Car park,Terrace,Wheelchair access","Flaunting a nouvelle-French sensibility, this very appealing French restaurant from Partner John Resnick and Executive Chef Eric Bost is dressed in shades of rose and flooded with natural light. The food turned out by the wide-open kitchen is top-notch, with a playful twist. This cooking also displays a mature direction, with solid ingredients, unique combinations and beautiful presentations that are ""almost"" too pretty to eat. Sea bass with crispy skin, resting on a bed of sautéed spinach with a saffron and vanilla sauce is whimsical and delicious. Pale green sweet pea ice cream on a bed of macerated blackberries, bits of eggy, lightly crisp, “clafoutis” pastry, tangy elderflower gelee, and dots of vanilla cream makes a nice finish.",$,4,Carlsbad,USA,California
Soichi,"2121 Adams Ave., San Diego, 92116, USA",Japanese,-117.1418816,32.7627776,1 Star,0,"Air conditioning,Counter dining,Notable sake list,Wheelchair access","Named for Chef Soichi Kadoya, this intimate Japanese restaurant has made a name for itself in University Heights. There are two omakase options, as well as several à la carte items. The chef may be chatting up diners, but make no mistake—this food shows serious focus. Sushi leans straightforward, but it flaunts a great deal of skill. Hokkaido pike mackerel is balanced by ginger and scallion, while kampachi delivers clean and simple flavors. Spanish bluefin tuna has a slight tang, while fatty tuna is luscious. Sea bass, marinated with two kinds of miso, is broiled and caramelized; and nigiri highlights trigger fish topped with a sliver of its creamy liver. An aromatic shirumono (fish soup) is the perfect transition before homemade green tea ice cream.",$,4,San Diego,USA,California
Madcap,"198 Sir Francis Drake Blvd., San Anselmo, 94960, USA",Contemporary,-122.56168,37.974712,1 Star,0,"Air conditioning,Interesting wine list,Wheelchair access","Upscale yet approachable, Chef/owner Ron Siegel's Madcap is one of the Bay Area’s best for contemporary dining. Well-crafted bites on the prix fixe may include a quenelle of tuna tartare with ginger and sesame seeds tucked with a crisp rice cracker that is deliciously simple. Next, a tender, almost-sweet coin of charred octopus rests over a pureed base of fermented pimentos and Tokyo turnip for a clean counterpoint. Supple slices of tart umeboshi, ""noodles"" of daikon and a creamy ponzu is a creative, pleasure-packed dish, while a tranche of crisp skin-on trout with cauliflower purée and ribbons of kohlrabi is bested with a tableside pour of dashi. The caramel pot de crème with a double hit of almond crumble and ice cream is perfection.",$,4,San Anselmo,USA,California
The Kitchen,"915 Broadway, Ste. 100, Sacramento, 95818, USA",Contemporary,-121.501422,38.564058,1 Star,0,"Counter dining,Wheelchair access","After more than 30 years of operation, The Kitchen has upgraded to a grander space, but its raucous party atmosphere, led by energetic emcee Chef Kelly McCown, is the same as ever. Diners are encouraged to get up and walk around, even to wander through the kitchen and rub elbows with the cooks. Really like that truffle dish? The chef, who frequently proclaims the menu’s caloric impact, nonetheless invites you to ask for seconds. The menu changes monthly and features far-reaching inspiration while highlighting the Central Valley’s treasure trove of ingredients. Expect dishes like sweet potato cannelloni with brown butter sabayon, or perfectly seared scallops paired with cauliflower, blood orange, and lime leaf—and remember that the central premise is to have fun.",$,4,Sacramento,USA,California
Citrin,"1104 Wilshire Blvd., Santa Monica, 90401, USA",Californian,-118.4914389,34.0244469,1 Star,0,"Air conditioning,Terrace,Valet parking,Wheelchair access","Although located in the same building as Chef Josiah Citrin's sister restaurant Mélisse, in lieu of its sibling’s tasting menu-only format, the offerings here afford more choice, with a modest prix-fixe alongside à la carte options. Chef Ken Takayama's cuisine sends forth signature combinations of French technique with an abundance of California's seasonal produce, focusing on updated takes on classically rooted flavors with modern, global touches.Spendthrifts will revel in the opulent caviar and truffle add-ons; but even without a dollop or shaving of luxury; the impressive cooking here, such as artichoke agnolotti with Comte and smoked barigoule is an indulgence, as is the Sonoma lamb loin with rosemary scented jus.",$,4,Santa Monica,USA,California
Six Test Kitchen,"3075 Blue Rock Rd., Paso Robles, 93446, USA",Contemporary,-120.6898229,35.5757084,1 Star,0,"Air conditioning,Car park,Counter dining,Wheelchair access","Hidden away in industrial Tin City, Chef Ricky Odbert has, for many years now, quietly and confidently cooked like few others in the region. Dry-aged fish and meats, seasonal produce, and delicious sauces come together in a breezy space with soaring ceilings, charcoal-tinted walls, metal edges and a stunning wood counter that wraps around the kitchen. It’s a fitting stage for food that eats as beautifully as it looks. Recent highlights include dill meringue crowned with trout roe and aged pork loin paired with brown butter and a stunning burnt onion puree. Desserts, like barley koji ice cream with whipped miso, are particularly exceptional and balance sweet and savory. A highly selective wine list brings small producers under the spotlight.",$,4,Paso Robles,USA,California
Le Comptoir at Bar Crenn,"3131 Fillmore St., San Francisco, 94123, USA",Contemporary,-122.43581,37.798435,1 Star,1,Air conditioning,"Nestled next door to Atelier Crenn, this counter experience offers an elegant interpretation of bar dining. Seated at a sleek marble countertop, a select handful of diners per evening receive a custom menu that carries the team's commitment to pescatarian-focused, dairy-free cuisine. Diners get a bit a show, as many of the courses are plated right at the bar. The beverage program is well-thought out, and selections pair perfectly with the clever creations, such as a salt-brined beet tartare crowned with caviar that's matched by a Mendocino sparkling rosé. The procession sings to the seasons, as in a springtime meal that included seafood sausage-stuffed morel mushrooms, clay-baked white asparagus, and halibut dressed with ramp ""beurre blanc.""",$,4,San Francisco,USA,California
Mister Jiu’s,"28 Waverly Pl., San Francisco, 94108, USA",Chinese,-122.406654,37.79371,1 Star,0,"Air conditioning,Interesting wine list,Wheelchair access","In a sleekly modern space that is undoubtedly one of the city's most well-appointed dining halls, Chef/owner Brandon Jew charts a new path with his uniquely Californian take on Chinese cuisine. He deploys top-flight ingredients to create original dishes that celebrate the Cantonese cooking and the Bay Area's seasonal bounty. The stylish bar area up front supplies memorable cocktails (as does Moongate Lounge, located above the restaurant), and also offers a familiar à la carte menu for walk-in diners. A separate prix fixe menu is exclusive to reserved tables, offering a light repast that can (read: should) be supplemented by signature, family-style items like roast duck with burnished skin or snapper served with sizzling ginger and scallion.",$,3,San Francisco,USA,California
Nozawa Bar,"212 N. Cañon Dr., Beverly Hills, 90210, USA",Japanese,-118.398404,34.0683345,1 Star,0,"Air conditioning,Counter dining,Valet parking","Nozawa Bar is secreted away in the back of the Beverly Hills location of Sugarfish, yet this jewel box is entirely independent of the local chain it's housed within.Omakase is the sole dining option here, served as multiple courses of nigiri along with some sashimi and handrolls. Each sequence centers on exceptional seafood, most of it sourced from local waters. Chef Osamu Fujita may be a traditionalist, but the menu includes many novelties. Start with the perfectly crunchy jellyfish dressed with ponzu. This might be followed by an impressive presentation of deliciously tender slivered octopus. Sushi highlights include the delicate halibut fin, ruby-red snapper cut before your eyes and a handroll of mountain yam, ume and shiso leaf.",$,4,Beverly Hills,USA,California
Aubergine,"Monte Verde at 7th Ave., Carmel-by-the-Sea, 93921, USA",Contemporary,-121.924355,36.55406,1 Star,0,"Air conditioning,Interesting wine list,Terrace,Wheelchair access","Easygoing luxury and refinement strike a harmonious note within L’Auberge Carmel, where every element seems designed to delight. Chef Justin Cogley balances classic technique with a sleek, modern aesthetic, and his cooking captures a sense of place that feels wholly his own. Products of spectacular quality are prepared skillfully and painstakingly presented with an artistic eye, starting with a tray of amuses like the miniature Kampachi taco or a pickled oyster with pomelo foam. The hits keep coming, like the rice roulade with Dungeness crab finished in a white dashi and butter sauce or the triple-seared dry-aged ribeye brushed in wagyu XO. Fabulously accommodating sommeliers are ever present to help navigate a wine list of real distinction.",$,4,Carmel-by-the-Sea,USA,California
Maude,"212 S. Beverly Dr., Beverly Hills, 90212, USA",Contemporary,-118.39904,34.064346,1 Star,0,"Air conditioning,Interesting wine list,Wheelchair access","Once a showpiece for concept-driven menus highlighting single ingredients or different global cuisines, Chef Curtis Stone and his team have now set their sights on their own backyard, focusing on refined Southern Californian cuisine. A multicourse tasting menu is full of surprises, beginning with a series of snacks which might featuring such outside-the-box combinations as white chocolate, raspberry and wasabi. SoCal’s strong Mexican influence might show up in inventive dishes like a blue corn pasta paired with huitlacoche and creamy requesón. Dessert comes with a change of scenery: guests are escorted up to the swanky wine loft, which doubles as a private pastry room serving creative offerings like a garam masala carrot cake with saffron ice cream.",$,4,Beverly Hills,USA,California
Kin Khao,"55 Cyril Magnin St., San Francisco, 94102, USA",Thai,-122.40951,37.785267,1 Star,0,"Air conditioning,Restaurant offering vegetarian menus,Valet parking,Wheelchair access","Tucked into an alcove of the Parc 55 hotel, the space is no great shakes in the décor department, but when it comes to layered, vibrantly flavorful Thai cooking with a produce-driven northern California flair, Chef Pim Techamuanvivit is in a league of her own.The menu draws on tradition, but it’s a far cry from run-of-the-mill, with creative interpretations of classics as well as original offerings. A fragrant steamed curry mousse (hor mok), studded with tender mushrooms and served with crispy puffed rice cakes, is a tantalizing starter, and even a familiar dish like green curry is made memorable with slow-cooked rabbit sourced from a local farm. Expect bold, unapologetic flavors—certain dishes feature spice levels not for the faint of heart.",$,3,San Francisco,USA,California
Orsa & Winston,"122 W. 4th St., Los Angeles, 90013, USA",Contemporary,-118.2479493,34.0484698,1 Star,0,"Air conditioning,Counter dining,Interesting wine list,Restaurant offering vegetarian menus,Valet parking","A counter and open kitchen showcase the culinary pyrotechnics of Chef Josef Centeno; and the deeply robust prix-fixe flaunts all the fireworks—think peak-season ingredients infused with wide-ranging flavors.The menu is inspired by the culinary traditions of Japan and Italy. For starters, thin slices of geoduck are tossed with top-grade abalone, charred onion, nori oil and citrus for a refreshing, flavor-brimming feast. Binchotan-grilled sea bream brings spring into focus with vegetables like locally farmed rapini and pea leaves. Hand-torn pasta with porcini ""bolognese,"" lovage-dashi butter and salted shiso or the signature satsuki porridge with its moat of parmesan cream and rich Santa Barbara uni are standouts.",$,4,Los Angeles,USA,California
Nari,"1625 Post St., San Francisco, 94115, USA",Thai,-122.4288317,37.7855421,1 Star,0,"Air conditioning,Terrace,Valet parking","This sleek retreat located within Hotel Kabuki delivers a one-two punch with a dramatic setting and accomplished cooking. Chef Pim Techamuanvivit’s personality and laser-focused palate come through in dishes that utilize fantastic Californian ingredients through a distinct, contemporary Thai lens. Dishes are family style, albeit with a touch of refinement. Intensely aromatic curries achieve a marvelous complexity, as in a brick red bumbai curry with crispy fried eggplant, served with an ethereally flaky roti bread. Crispy shallots and peanuts are a clever addition to bright citrus in yum sum-o. Grilled Monterey squid in a chili-lime dressing is plated with impossibly tender, sticky-sweet pork jowl in a dish so satisfying you'll be scraping every last kernel of sticky rice.",$,3,San Francisco,USA,California
Protégé,"250 California Ave., Palo Alto, 94306, USA",Contemporary,-122.14362,37.427853,1 Star,0,"Air conditioning,Interesting wine list,Terrace,Wheelchair access","Chef Anthony Secviar and Master Sommelier Dennis Kelly trained under Chef Thomas Keller at The French Laundry, but this dining room is far from weighty. Instead, leather booths, beautifully set tables and even a flip flop-donning diner keep things informal.Expect edgy cooking with panache. The dining room's seven-course tasting menu proffers the likes of kataifi-wrapped langoustine; Pacific sablefish with yuzu tapioca and dashi; as well as lamb loin with a swipe of vadouvan-infused sauce, falafel and sweet pepper confiture. A keen attention to detail and well-balanced flavors continue through to dessert—dulce de leche mousse shines.An à la carte menu (think brick chicken with razor clams and brown-butter caper jus) is on offer in the lounge, bar and patio.",$,4,Palo Alto,USA,California
Selby's,"3001 El Camino Real, Atherton, 94061, USA",American,-122.2104559,37.4685638,1 Star,0,"Air conditioning,Interesting wine list,Valet parking","This destination-worthy restaurant drips with old-school Hollywood charm, matched by the seemingly effortless poise of the sharply dressed service team.The kitchen team excels at modern takes on classic American cuisine, which get an extra boost from SMIP Ranch—their private farm. Many dishes resemble familiar steakhouse signatures, but they are noticeably elevated here.Your dinner may begin with a fresh-baked Gruyère popover before moving on to an elegant take on vichyssoise. Steaks are cooked to perfection, while Maine lobster vol-au-vent is comforting.The refined take on nostalgic favorites continues through dessert. Standouts have included a slab of midnight chocolate cake as well as enticing old-fashioned crullers, dusted with cinnamon sugar.",$,4,Atherton,USA,California
Angler SF,"132 The Embarcadero, San Francisco, 94105, USA",Contemporary,-122.39213,37.793167,1 Star,0,"Air conditioning,Interesting wine list,Terrace,Wheelchair access","A pair of plush rooms makes Angler feel like a hunter’s cabin gone Nordic-chic, but all eyes eventually drift to the gorgeous kitchen, where the cooks tend to a live fire. The touch of those embers can be felt everywhere—from the blush-pink bigeye tuna enhanced by shiso and a perfectly chilled tomato jelly, to ultra-tender pieces of hot fried quail generously flavored with a crispy pepper coating.Meticulousness is the prevailing theme as seen in the transformation of the humble cauliflower into a large, superbly roasted floret seasoned with vadouvan and a splash of lime. Stuffed? Tough. It would be plain wrong to leave without indulging in a delicious soft-serve sundae happily paired with warm salted caramel and cool cocoa nibs.",$,4,San Francisco,USA,California
Sorrel,"3228 Sacramento St., San Francisco, 94115, USA",Contemporary,-122.44614,37.788334,1 Star,0,"Air conditioning,Terrace,Wheelchair access","Trained at Quince, Chef Alexander Hong has a true gift for pasta at this Pacific Heights perch where a rooftop garden provides herbs, edible flowers, herbs and seasonal vegetables. Smoky potato zlikrofi drizzled with sharp plum mostarda and shaved horseradish, or thick strascinati bathed in a ‘nduja-infused sauce with tender butter beans and lovage are two highlights. His ricotta gnudi are exemplars of the form: cloud-soft, accented by crisp fried sage and bright pops of sour cherry.In addition to a pair of pastas, discover some deliciously contemporary small bites, including madai crudo with yuzu and cured egg yolk, or dry-aged beef tartare with a hint of pink peppercorn. The duck breast course is truly a sight to behold—complete with its brilliant trinity of golden-crisped skin, juicy meat and earthy red kuri squash purée.",$,4,San Francisco,USA,California
Auro,"400 Silverado Trl., Calistoga, 94515, USA",Contemporary,-122.56719,38.58382,1 Star,0,"Credit cards not accepted,Valet parking","Soak up the bucolic splendor of Napa’s northern reaches at the Four Seasons resort, the ideal setting for this au courant embodiment of classic Wine Country fine dining. Thanks to skills honed in some of the Bay Area’s most notable kitchens, Chef Rogelio Garcia displays a distinctly Californian perspective, using precise technique in order to highlight exceptional ingredients—most of which are sourced locally, including from on-site gardens. Whether it’s a lively crudo of dry-aged kampachi with golden kiwi aguachile, or an earthy, ultra-silky sunchoke velouté with jamon de Bellota and Périgord truffle, each dish is finely tuned and harmonious. Add in warm hospitality, and here is a meal that strikes a golden balance between modern tastes and old-school luxury.",$,4,Calistoga,USA,California
Hana re,"2930 Bristol St., Costa Mesa, 92626, USA",Japanese,-117.8854377,33.6778676,1 Star,0,"Air conditioning,Car park,Counter dining,Notable sake list","It feels like a neighborhood secret, hidden in the back of a shopping mall, yet this gem is indeed worth seeking out. The ten-seat counter offers a leisurely omakase under the impeccable guidance of Chef Atsushi Yokoyama.Moments of quiet are filled by watching this one-man show lend artistry to the meal. Begin with an assortment of zensai, tailed by a piece of peak-season fish that's masterfully cut, modestly seasoned and entirely pleasing. Cuttlefish dashi may come next, served in a frosted vessel decked out with house-cured salmon roe and petals of uni. Kegani is harmoniously foiled by fleshy okra; just as hotaru-ika is enhanced by hinoki mushrooms and oh-so-sweet and tart tomatoes.The almond panna cotta with macerated strawberries is swoon-worthy.",$,4,Costa Mesa,USA,California
Sushi Inaba,"20918 Hawthorne Blvd., Torrance, 90503, USA",Japanese,-118.3536365,33.8403635,1 Star,0,"Air conditioning,Counter dining","Chef Yasuhiro Hirano turns out some of the most exciting sushi in town at a separate counter within this sister restaurant, I-naba. His particular magic lies in weaving together a few key components, including exotic fish that he ages before blending with a host of ingredients. He’s mastered dishes that more established pros haven't—and to such precise and polished effect.With just a six-seat counter, this intimate space ensures that diners will be immersed in the process. Chef Hirano enjoys sharing his craft, but you may opt for silence to savor such delicacies as tender mantis shrimp glossed in eel sauce, or plump Kusshi oyster with ponzu gelée. Slow-braised monkfish liver may be presented with a sprinkling of black pepper, while sea bream is enriched by a dot of pickled plum sauce and shiso.",$,4,Torrance,USA,California
Shibumi,"815 S. Hill St., Los Angeles, 90014, USA",Japanese,-118.256134,34.044155,1 Star,0,"Air conditioning,Counter dining,Notable sake list,Restaurant offering vegetarian menus,Wheelchair access","There may be no more pleasurable place to learn about kappo-style cuisine, which has only recently made inroads into the American dining scene, than this stellar Japanese space, featuring a few tables and a counter crafted from a centuries-old cypress tree. The service is wonderfully engaging and attentive.There are four prix fixe menus, all highlighting the best of the seasons. Chef David Schlosser takes traditional Japanese dishes (and ingredients) and gives them a contemporary boost. Highlights include grilled mochi stuffed with karasumi and tender firefly squid with a sweet soy glaze. Crisp and refreshingly bitter fava beans balance the sweet-savory notes of chawanmushi, and Japanese sea bream with myoga ginger bud and pickled plum paste is a delightful bite.",$,4,Los Angeles,USA,California
Osteria Mozza,"6602 Melrose Ave., Los Angeles, 90038, USA",Italian,-118.3386857,34.0834246,1 Star,1,"Air conditioning,Interesting wine list,Valet parking,Wheelchair access","A perennial hit since opening (expect a wait), this decade-old darling continues to please with creative cocktails and Italian cuisine. The décor veers from typical osteria-style, thanks to handsome dark-wood paneling and a white marble counter. The vibe is lively, but nab a seat at the Mozza bar for a prime view of the antipasti preparation.Bread is something of an obsession here, as is the mozzarella menu. Chef Nancy Silverton's team strives to show you around the corners of Italian cooking, The crispy chicken leg is pure and simple comfort food, and pastas are unsurprisingly phenomenal—try the orecchiette with sausage and Swiss chard. Save room for desserts like torta della nonna with California honey from executive pastry chef, Dahlia Narvaez.",$,4,Los Angeles,USA,California
Wakuriya,"115 De Anza Blvd., San Mateo, 94402, USA",Japanese,-122.3366,37.52114,1 Star,0,"Air conditioning,Counter dining,Notable sake list,Wheelchair access","Innovative, serious and well-established, Wakuriya successfully blends a deep respect for the kaiseki tradition with a contemporary touch. This is largely thanks to the lone chef behind the counter, Katsuhiro Yamasaki; his wife deftly manages the dining room.Each month brings a new, refined menu that combines the chef’s personal style with superlative Japanese and Californian ingredients. Courses are uniquely presented, as in a silver spoon cradling chunks of poached lobster with dashi gelée, soft-boiled Jidori egg and fried kombu. This may not be a sushiya, but the sashimi course is nonetheless excellent. Find that same level of talent in the steamed  Alaskan black cod with fluffy grated turnip, and the shirako tofu topped with kabocha squash tempura.",$,4,San Mateo,USA,California
Gwen,"6600 Sunset Blvd., Los Angeles, 90028, USA",Steakhouse,-118.3332968,34.0979419,1 Star,0,"Air conditioning,Counter dining,Interesting wine list,Terrace,Valet parking,Wheelchair access","During the day, this enticingly arranged butcher shop sells humanely raised meats from local partner farms. By night, Gwen opens into a glowing dining room showcasing the same upscale cuts à la carte and on its multicourse tasting. Named for their beloved grandmother, this collaboration between Chef Curtis Stone and his brother, Luke, conjures Art Deco glamour with crystal chandeliers and a roaring fireplace.The menu is concise and stars house-made charcuterie and wood-fire grilled steaks. Watch from the chef's counter as the crew deftly cooks high quality meat, perhaps a Blackmore Wagyu New York strip, to perfection. Save room for dessert, like a round of cheesecake nestled in a mound of graham cracker crumbs and topped with a quenelle of mango lime sorbet.",$,4,Los Angeles,USA,California
Gary Danko,"800 North Point St., San Francisco, 94109, USA",Contemporary,-122.4206863,37.8058115,1 Star,0,"Air conditioning,Interesting wine list,Wheelchair access","Opened in 1999, Chef Gary Danko's eponymous dining room is a San Francisco institution. Located in Fisherman's Wharf, the restaurant continues to be a busy beacon for business types, celebratory couples, and well-heeled families. The cooking is rooted in classic French cuisine with a wandering sense of global inspiration. Diners select from a prix-fixe of three to five courses, with ample options in each category of appetizer, seafood, meat, and dessert. Those who aren’t in the mood to decide can hand over the reins to the chef’s tasting menu. An extensive wine list, servers dressed in dark suits, and an impressively large cheese trolley round out the vintage experience.",$,4,San Francisco,USA,California
Kenzo,"1339 Pearl St., Napa, 94559, USA",Japanese,-122.28928,38.29924,1 Star,0,"Air conditioning,Counter dining,Interesting wine list,Notable sake list,Wheelchair access","Kenzo Tsujimoto's Napa Valley temple of traditional Japanese cuisine is a place to wash away worldly cares. Designed by his wife Natsuko, this 25-seat space is serene and minimal.The best seats are at the long counter, where diners can chat with the chefs and watch their meal being prepared. The kaiseki experience is beautifully composed, elegantly paced and may feature such exquisite presentations as the seasonal hassun—unveiling poached eggplant in dashi and seared Sonoma duck breast. Other standouts include straw-smoked Hokkaido scallop sashimi with jidori egg yolk sauce; and Wagyu beef tenderloin with a reduction of the estate's own Bordeaux-style blend.The sake variety is extraordinary, but Kenzo Estate’s own Napa-grown wines are also available by the flight.",$,4,Napa,USA,California
Niku Steakhouse,"61 Division St., San Francisco, 94103, USA",Steakhouse,-122.4036208,37.7697497,1 Star,0,"Counter dining,Interesting wine list,Wheelchair access","A shiny gold door welcomes you to Niku, a buzzy, ultra-luxe steakhouse in the Design District. The swank, wood-lined interior features an array of cozy tables, but a seat at the handsome 18-seat chef’s counter allows you to watch Chef Dustin Falcon and company work their magic under the warm glow of the coals.Dinner might begin with perfectly al dente pea agnolotti in an airy butter sauce punched up with preserved Meyer lemon. Then move on the excellent steaks, like the Tomahawk built for two; or melt-in-your-mouth Imperial Wagyu filet mignon, served with 200-day-old kimchi, bordelaise sauce and sea salt. Don’t be afraid to use your hands to devour the Brentwood corn on the cob, charred to perfection on the grill.",$,4,San Francisco,USA,California
Kato,"777 Alameda St., Los Angeles, 90021, USA",Asian,-118.2383255,34.0319303,1 Star,0,"Air conditioning,Car park,Interesting wine list,Wheelchair access","Chef Jonathan Yao is on a mission, deftly drawing on his Taiwanese background to deliver inspired, bold dishes. Far from his first location, the Row DTLA dining room is a cool enclave of polished concrete, steel, plate glass and light wood furnishings, along with an open kitchen that features prominently. It is a beautiful stage for his tasting menu, which is not shy about seasoning. Fish maw with Dungeness crab, custard and caviar comes with a crab shell-infused red vinegar for maximum impact. Spice-crusted duck breast taps into nostalgia with a fluffy bao bun. A recent riff on pig ears with summer tomatoes buzzed with a fiery chili oil. To boot, the cocktail program features impressively crafted alcoholic and spirit-free creations.",$,4,Los Angeles,USA,California
State Bird Provisions,"1529 Fillmore St., San Francisco, 94115, USA",Californian,-122.43283,37.783737,1 Star,0,"Air conditioning,Counter dining,Terrace","Welcome to the evolution of fine dining, where streams of plates are passed between guests dim sum-style, and the seasonal cooking is vibrant and surprising. You may not understand all of what you ordered at first, but prices are reasonable so pile on a few extras and try everything. Highlights include pan-seared dumplings with tender guinea hen and shiitake mushrooms accompanied by a tableside pour of umami-rich broth. Heartier plates of fried black cod tail glazed in a delicious tamari-butter, followed by hot-pink rhubarb-and-passion fruit granita over an oat mousse are a fine study in wonderfully unexpected flavors and textures.Be forewarned: getting a reservation here is a challenge, so it's best to avoid nights when large parties are booked.",$,3,San Francisco,USA,California
Heritage,"2030 E. 7th St., Long Beach, 90804, USA",Californian,-118.1667769,33.775291,1 Star,1,"Air conditioning,Terrace,Wheelchair access","Set in a converted Craftsman in the historic Rose Park neighborhood, this inviting locale is  removed from the hustle and bustle of Long Beach. Brother-and-sister duo Philip and Lauren Pretty run the kitchen and front of house, respectively, curating an experience that’s relaxed, but gets the details just right. On offer is a single multicourse tasting (priced quite reasonably) that highlights top-notch ingredients, including produce sourced from their nearby farm. The cooking has a California accent, and seasonal fruit may form a common thread, as in preserved kumquats paired with roasted beet and impeccably cooked dry-aged duck breast, and yet again in the guise of a frozen yogurt, in a summery dessert of charred strawberries and herbaceous yuzu granita.",$,4,Long Beach,USA,California
